"Species" "SiteID" "Surface Type" "Plant growth type" "Biome" "Quantity" "Value"
"250" "Hypodiscus aristatus" "5b" "sandstone" "Restio" "Fynbos" "Area cover in 2012 (cm^2)" 4000
"251" "Hypodiscus aristatus" "5b" "sandstone" "Restio" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 2236
"252" "Hypodiscus aristatus" "5b" "sandstone" "Restio" "Fynbos" "Number of individuals in 2012" 5
"253" "Metalasia massonii" "2a" "shale" "Ericoid" "Fynbos" "Area cover in 1994 (cm^2)" 1160
"254" "Metalasia massonii" "2a" "shale" "Ericoid" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 152
"255" "Metalasia massonii" "2a" "shale" "Ericoid" "Fynbos" "Number of individuals in 1994" 2
"256" "Metalasia massonii" "2a" "shale" "Ericoid" "Fynbos" "Area cover in 2008 (cm^2)" 0
"257" "Metalasia massonii" "2a" "shale" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"258" "Metalasia massonii" "2a" "shale" "Ericoid" "Fynbos" "Number of individuals in 2008" 0
"259" "Metalasia massonii" "2a" "shale" "Ericoid" "Fynbos" "Area cover in 2012 (cm^2)" 0
"260" "Metalasia massonii" "2a" "shale" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"261" "Metalasia massonii" "2a" "shale" "Ericoid" "Fynbos" "Number of individuals in 2012" 0
"262" "Metalasia massonii" "2b" "sandstone" "Ericoid" "Fynbos" "Area cover in 1994 (cm^2)" 1083
"263" "Metalasia massonii" "2b" "sandstone" "Ericoid" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 678
"264" "Metalasia massonii" "2b" "sandstone" "Ericoid" "Fynbos" "Number of individuals in 1994" 7
"265" "Metalasia massonii" "2b" "sandstone" "Ericoid" "Fynbos" "Area cover in 2008 (cm^2)" 0
"266" "Metalasia massonii" "2b" "sandstone" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"267" "Metalasia massonii" "2b" "sandstone" "Ericoid" "Fynbos" "Number of individuals in 2008" 0
"268" "Metalasia massonii" "2b" "sandstone" "Ericoid" "Fynbos" "Area cover in 2012 (cm^2)" 0
"269" "Metalasia massonii" "2b" "sandstone" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"270" "Metalasia massonii" "2b" "sandstone" "Ericoid" "Fynbos" "Number of individuals in 2012" 0
"271" "Metalasia massonii" "3" "africa" "Ericoid" "Fynbos" "Area cover in 1994 (cm^2)" 1696
"272" "Metalasia massonii" "3" "africa" "Ericoid" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" NA
"273" "Metalasia massonii" "3" "africa" "Ericoid" "Fynbos" "Number of individuals in 1994" 8
"274" "Metalasia massonii" "3" "africa" "Ericoid" "Fynbos" "Area cover in 2008 (cm^2)" 0
"275" "Metalasia massonii" "3" "africa" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"276" "Metalasia massonii" "3" "africa" "Ericoid" "Fynbos" "Number of individuals in 2008" 0
"277" "Metalasia massonii" "3" "africa" "Ericoid" "Fynbos" "Area cover in 2012 (cm^2)" 0
"278" "Metalasia massonii" "3" "africa" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"279" "Metalasia massonii" "3" "africa" "Ericoid" "Fynbos" "Number of individuals in 2012" 0
"280" "Metalasia massonii" "4a" "shale" "Ericoid" "Fynbos" "Area cover in 1994 (cm^2)" 2826
"281" "Metalasia massonii" "4a" "shale" "Ericoid" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 809
"282" "Metalasia massonii" "4a" "shale" "Ericoid" "Fynbos" "Number of individuals in 1994" 13
"283" "Metalasia massonii" "4a" "shale" "Ericoid" "Fynbos" "Area cover in 2008 (cm^2)" 0
"284" "Metalasia massonii" "4a" "shale" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"285" "Metalasia massonii" "4a" "shale" "Ericoid" "Fynbos" "Number of individuals in 2008" 0
"286" "Metalasia massonii" "4a" "shale" "Ericoid" "Fynbos" "Area cover in 2012 (cm^2)" 0
"287" "Metalasia massonii" "4a" "shale" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"288" "Metalasia massonii" "4a" "shale" "Ericoid" "Fynbos" "Number of individuals in 2012" 0
"289" "Metalasia massonii" "4b" "sandstone" "Ericoid" "Fynbos" "Area cover in 1994 (cm^2)" 2720
"290" "Metalasia massonii" "4b" "sandstone" "Ericoid" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 1018
"291" "Metalasia massonii" "4b" "sandstone" "Ericoid" "Fynbos" "Number of individuals in 1994" 7
"292" "Metalasia massonii" "4b" "sandstone" "Ericoid" "Fynbos" "Area cover in 2008 (cm^2)" 0
"293" "Metalasia massonii" "4b" "sandstone" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"294" "Metalasia massonii" "4b" "sandstone" "Ericoid" "Fynbos" "Number of individuals in 2008" 0
"295" "Metalasia massonii" "4b" "sandstone" "Ericoid" "Fynbos" "Area cover in 2012 (cm^2)" 4200
"296" "Metalasia massonii" "4b" "sandstone" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"297" "Metalasia massonii" "4b" "sandstone" "Ericoid" "Fynbos" "Number of individuals in 2012" 1
"298" "Metalasia massonii" "5a" "shale" "Ericoid" "Fynbos" "Area cover in 1994 (cm^2)" 2512
"299" "Metalasia massonii" "5a" "shale" "Ericoid" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 622
"300" "Metalasia massonii" "5a" "shale" "Ericoid" "Fynbos" "Number of individuals in 1994" 7
"301" "Metalasia massonii" "5a" "shale" "Ericoid" "Fynbos" "Area cover in 2008 (cm^2)" 0
"302" "Metalasia massonii" "5a" "shale" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"303" "Metalasia massonii" "5a" "shale" "Ericoid" "Fynbos" "Number of individuals in 2008" 0
"304" "Metalasia massonii" "5a" "shale" "Ericoid" "Fynbos" "Area cover in 2012 (cm^2)" 0
"305" "Metalasia massonii" "5a" "shale" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"306" "Metalasia massonii" "5a" "shale" "Ericoid" "Fynbos" "Number of individuals in 2012" 0
"307" "Metalasia massonii" "5b" "sandstone" "Ericoid" "Fynbos" "Area cover in 1994 (cm^2)" 468
"308" "Metalasia massonii" "5b" "sandstone" "Ericoid" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 192
"309" "Metalasia massonii" "5b" "sandstone" "Ericoid" "Fynbos" "Number of individuals in 1994" 3
"310" "Metalasia massonii" "5b" "sandstone" "Ericoid" "Fynbos" "Area cover in 2008 (cm^2)" 0
"311" "Metalasia massonii" "5b" "sandstone" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"312" "Metalasia massonii" "5b" "sandstone" "Ericoid" "Fynbos" "Number of individuals in 2008" 0
"313" "Metalasia massonii" "5b" "sandstone" "Ericoid" "Fynbos" "Area cover in 2012 (cm^2)" 0
"314" "Metalasia massonii" "5b" "sandstone" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"315" "Metalasia massonii" "5b" "sandstone" "Ericoid" "Fynbos" "Number of individuals in 2012" 0
"316" "Phylica lachnaeoides" "2a" "shale" "Ericoid" "Fynbos" "Area cover in 1994 (cm^2)" 374
"317" "Phylica lachnaeoides" "2a" "shale" "Ericoid" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 0
"318" "Phylica lachnaeoides" "2a" "shale" "Ericoid" "Fynbos" "Number of individuals in 1994" 1
"319" "Phylica lachnaeoides" "2a" "shale" "Ericoid" "Fynbos" "Area cover in 2008 (cm^2)" 0
"320" "Phylica lachnaeoides" "2a" "shale" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"321" "Phylica lachnaeoides" "2a" "shale" "Ericoid" "Fynbos" "Number of individuals in 2008" 0
"322" "Phylica lachnaeoides" "2a" "shale" "Ericoid" "Fynbos" "Area cover in 2012 (cm^2)" 0
"323" "Phylica lachnaeoides" "2a" "shale" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"324" "Phylica lachnaeoides" "2a" "shale" "Ericoid" "Fynbos" "Number of individuals in 2012" 0
"325" "Phylica lachnaeoides" "2b" "sandstone" "Ericoid" "Fynbos" "Area cover in 1994 (cm^2)" 3313
"326" "Phylica lachnaeoides" "2b" "sandstone" "Ericoid" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 1870
"327" "Phylica lachnaeoides" "2b" "sandstone" "Ericoid" "Fynbos" "Number of individuals in 1994" 10
"328" "Phylica lachnaeoides" "2b" "sandstone" "Ericoid" "Fynbos" "Area cover in 2008 (cm^2)" NA
"329" "Phylica lachnaeoides" "2b" "sandstone" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"330" "Phylica lachnaeoides" "2b" "sandstone" "Ericoid" "Fynbos" "Number of individuals in 2008" NA
"331" "Phylica lachnaeoides" "2b" "sandstone" "Ericoid" "Fynbos" "Area cover in 2012 (cm^2)" 0
"332" "Phylica lachnaeoides" "2b" "sandstone" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"333" "Phylica lachnaeoides" "2b" "sandstone" "Ericoid" "Fynbos" "Number of individuals in 2012" 0
"334" "Phylica lachnaeoides" "3" "africa" "Ericoid" "Fynbos" "Area cover in 1994 (cm^2)" 3350
"335" "Phylica lachnaeoides" "3" "africa" "Ericoid" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" NA
"336" "Phylica lachnaeoides" "3" "africa" "Ericoid" "Fynbos" "Number of individuals in 1994" 8
"337" "Phylica lachnaeoides" "3" "africa" "Ericoid" "Fynbos" "Area cover in 2008 (cm^2)" NA
"338" "Phylica lachnaeoides" "3" "africa" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"339" "Phylica lachnaeoides" "3" "africa" "Ericoid" "Fynbos" "Number of individuals in 2008" NA
"340" "Phylica lachnaeoides" "3" "africa" "Ericoid" "Fynbos" "Area cover in 2012 (cm^2)" 0
"341" "Phylica lachnaeoides" "3" "africa" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"342" "Phylica lachnaeoides" "3" "africa" "Ericoid" "Fynbos" "Number of individuals in 2012" 0
"343" "Phylica lachnaeoides" "4a" "shale" "Ericoid" "Fynbos" "Area cover in 1994 (cm^2)" 1584
"344" "Phylica lachnaeoides" "4a" "shale" "Ericoid" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 701
"345" "Phylica lachnaeoides" "4a" "shale" "Ericoid" "Fynbos" "Number of individuals in 1994" 13
"346" "Phylica lachnaeoides" "4a" "shale" "Ericoid" "Fynbos" "Area cover in 2008 (cm^2)" NA
"347" "Phylica lachnaeoides" "4a" "shale" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"348" "Phylica lachnaeoides" "4a" "shale" "Ericoid" "Fynbos" "Number of individuals in 2008" NA
"349" "Phylica lachnaeoides" "4a" "shale" "Ericoid" "Fynbos" "Area cover in 2012 (cm^2)" 866
"350" "Phylica lachnaeoides" "4a" "shale" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 311
"351" "Phylica lachnaeoides" "4a" "shale" "Ericoid" "Fynbos" "Number of individuals in 2012" 22
"352" "Phylica lachnaeoides" "4b" "sandstone" "Ericoid" "Fynbos" "Area cover in 1994 (cm^2)" 1076
"353" "Phylica lachnaeoides" "4b" "sandstone" "Ericoid" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 849
"354" "Phylica lachnaeoides" "4b" "sandstone" "Ericoid" "Fynbos" "Number of individuals in 1994" 12
"355" "Phylica lachnaeoides" "4b" "sandstone" "Ericoid" "Fynbos" "Area cover in 2008 (cm^2)" NA
"356" "Phylica lachnaeoides" "4b" "sandstone" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"357" "Phylica lachnaeoides" "4b" "sandstone" "Ericoid" "Fynbos" "Number of individuals in 2008" NA
"358" "Phylica lachnaeoides" "4b" "sandstone" "Ericoid" "Fynbos" "Area cover in 2012 (cm^2)" 0
"359" "Phylica lachnaeoides" "4b" "sandstone" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"360" "Phylica lachnaeoides" "4b" "sandstone" "Ericoid" "Fynbos" "Number of individuals in 2012" 0
"361" "Phylica lachnaeoides" "5a" "shale" "Ericoid" "Fynbos" "Area cover in 1994 (cm^2)" 2099
"362" "Phylica lachnaeoides" "5a" "shale" "Ericoid" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 660
"363" "Phylica lachnaeoides" "5a" "shale" "Ericoid" "Fynbos" "Number of individuals in 1994" 17
"364" "Phylica lachnaeoides" "5a" "shale" "Ericoid" "Fynbos" "Area cover in 2008 (cm^2)" NA
"365" "Phylica lachnaeoides" "5a" "shale" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"366" "Phylica lachnaeoides" "5a" "shale" "Ericoid" "Fynbos" "Number of individuals in 2008" NA
"367" "Phylica lachnaeoides" "5a" "shale" "Ericoid" "Fynbos" "Area cover in 2012 (cm^2)" 6091
"368" "Phylica lachnaeoides" "5a" "shale" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 1663
"369" "Phylica lachnaeoides" "5a" "shale" "Ericoid" "Fynbos" "Number of individuals in 2012" 34
"370" "Phylica lachnaeoides" "5b" "sandstone" "Ericoid" "Fynbos" "Area cover in 1994 (cm^2)" 2362
"371" "Phylica lachnaeoides" "5b" "sandstone" "Ericoid" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 999
"372" "Phylica lachnaeoides" "5b" "sandstone" "Ericoid" "Fynbos" "Number of individuals in 1994" 15
"373" "Phylica lachnaeoides" "5b" "sandstone" "Ericoid" "Fynbos" "Area cover in 2008 (cm^2)" NA
"374" "Phylica lachnaeoides" "5b" "sandstone" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"375" "Phylica lachnaeoides" "5b" "sandstone" "Ericoid" "Fynbos" "Number of individuals in 2008" NA
"376" "Phylica lachnaeoides" "5b" "sandstone" "Ericoid" "Fynbos" "Area cover in 2012 (cm^2)" 0
"377" "Phylica lachnaeoides" "5b" "sandstone" "Ericoid" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"378" "Phylica lachnaeoides" "5b" "sandstone" "Ericoid" "Fynbos" "Number of individuals in 2012" 0
"379" "Hermannia salvifolia" "2a" "shale" "Fynbos pioneer" "Fynbos" "Area cover in 1994 (cm^2)" 3210
"380" "Hermannia salvifolia" "2a" "shale" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 2871
"381" "Hermannia salvifolia" "2a" "shale" "Fynbos pioneer" "Fynbos" "Number of individuals in 1994" 10
"382" "Hermannia salvifolia" "2a" "shale" "Fynbos pioneer" "Fynbos" "Area cover in 2008 (cm^2)" NA
"383" "Hermannia salvifolia" "2a" "shale" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"384" "Hermannia salvifolia" "2a" "shale" "Fynbos pioneer" "Fynbos" "Number of individuals in 2008" NA
"385" "Hermannia salvifolia" "2a" "shale" "Fynbos pioneer" "Fynbos" "Area cover in 2012 (cm^2)" 0
"386" "Hermannia salvifolia" "2a" "shale" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"387" "Hermannia salvifolia" "2a" "shale" "Fynbos pioneer" "Fynbos" "Number of individuals in 2012" 0
"388" "Hermannia salvifolia" "2b" "sandstone" "Fynbos pioneer" "Fynbos" "Area cover in 1994 (cm^2)" 2213
"389" "Hermannia salvifolia" "2b" "sandstone" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 1157
"390" "Hermannia salvifolia" "2b" "sandstone" "Fynbos pioneer" "Fynbos" "Number of individuals in 1994" 7
"391" "Hermannia salvifolia" "2b" "sandstone" "Fynbos pioneer" "Fynbos" "Area cover in 2008 (cm^2)" NA
"392" "Hermannia salvifolia" "2b" "sandstone" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"393" "Hermannia salvifolia" "2b" "sandstone" "Fynbos pioneer" "Fynbos" "Number of individuals in 2008" NA
"394" "Hermannia salvifolia" "2b" "sandstone" "Fynbos pioneer" "Fynbos" "Area cover in 2012 (cm^2)" 0
"395" "Hermannia salvifolia" "2b" "sandstone" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"396" "Hermannia salvifolia" "2b" "sandstone" "Fynbos pioneer" "Fynbos" "Number of individuals in 2012" 0
"397" "Hermannia salvifolia" "3" "africa" "Fynbos pioneer" "Fynbos" "Area cover in 1994 (cm^2)" 6759
"398" "Hermannia salvifolia" "3" "africa" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" NA
"399" "Hermannia salvifolia" "3" "africa" "Fynbos pioneer" "Fynbos" "Number of individuals in 1994" 2
"400" "Hermannia salvifolia" "3" "africa" "Fynbos pioneer" "Fynbos" "Area cover in 2008 (cm^2)" NA
"401" "Hermannia salvifolia" "3" "africa" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"402" "Hermannia salvifolia" "3" "africa" "Fynbos pioneer" "Fynbos" "Number of individuals in 2008" NA
"403" "Hermannia salvifolia" "3" "africa" "Fynbos pioneer" "Fynbos" "Area cover in 2012 (cm^2)" 0
"404" "Hermannia salvifolia" "3" "africa" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"405" "Hermannia salvifolia" "3" "africa" "Fynbos pioneer" "Fynbos" "Number of individuals in 2012" 0
"406" "Hermannia salvifolia" "4a" "shale" "Fynbos pioneer" "Fynbos" "Area cover in 1994 (cm^2)" 5407
"407" "Hermannia salvifolia" "4a" "shale" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 1364
"408" "Hermannia salvifolia" "4a" "shale" "Fynbos pioneer" "Fynbos" "Number of individuals in 1994" 8
"409" "Hermannia salvifolia" "4a" "shale" "Fynbos pioneer" "Fynbos" "Area cover in 2008 (cm^2)" NA
"410" "Hermannia salvifolia" "4a" "shale" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"411" "Hermannia salvifolia" "4a" "shale" "Fynbos pioneer" "Fynbos" "Number of individuals in 2008" NA
"412" "Hermannia salvifolia" "4a" "shale" "Fynbos pioneer" "Fynbos" "Area cover in 2012 (cm^2)" 1243
"413" "Hermannia salvifolia" "4a" "shale" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 493
"414" "Hermannia salvifolia" "4a" "shale" "Fynbos pioneer" "Fynbos" "Number of individuals in 2012" 78
"415" "Hermannia salvifolia" "4b" "sandstone" "Fynbos pioneer" "Fynbos" "Area cover in 1994 (cm^2)" 3610
"416" "Hermannia salvifolia" "4b" "sandstone" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 2101
"417" "Hermannia salvifolia" "4b" "sandstone" "Fynbos pioneer" "Fynbos" "Number of individuals in 1994" 8
"418" "Hermannia salvifolia" "4b" "sandstone" "Fynbos pioneer" "Fynbos" "Area cover in 2008 (cm^2)" NA
"419" "Hermannia salvifolia" "4b" "sandstone" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"420" "Hermannia salvifolia" "4b" "sandstone" "Fynbos pioneer" "Fynbos" "Number of individuals in 2008" NA
"421" "Hermannia salvifolia" "4b" "sandstone" "Fynbos pioneer" "Fynbos" "Area cover in 2012 (cm^2)" 0
"422" "Hermannia salvifolia" "4b" "sandstone" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"423" "Hermannia salvifolia" "4b" "sandstone" "Fynbos pioneer" "Fynbos" "Number of individuals in 2012" 0
"424" "Hermannia salvifolia" "5a" "shale" "Fynbos pioneer" "Fynbos" "Area cover in 1994 (cm^2)" 5657
"425" "Hermannia salvifolia" "5a" "shale" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 1550
"426" "Hermannia salvifolia" "5a" "shale" "Fynbos pioneer" "Fynbos" "Number of individuals in 1994" 10
"427" "Hermannia salvifolia" "5a" "shale" "Fynbos pioneer" "Fynbos" "Area cover in 2008 (cm^2)" NA
"428" "Hermannia salvifolia" "5a" "shale" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"429" "Hermannia salvifolia" "5a" "shale" "Fynbos pioneer" "Fynbos" "Number of individuals in 2008" NA
"430" "Hermannia salvifolia" "5a" "shale" "Fynbos pioneer" "Fynbos" "Area cover in 2012 (cm^2)" 0
"431" "Hermannia salvifolia" "5a" "shale" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"432" "Hermannia salvifolia" "5a" "shale" "Fynbos pioneer" "Fynbos" "Number of individuals in 2012" 0
"433" "Hermannia salvifolia" "5b" "sandstone" "Fynbos pioneer" "Fynbos" "Area cover in 1994 (cm^2)" 1427
"434" "Hermannia salvifolia" "5b" "sandstone" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 1530
"435" "Hermannia salvifolia" "5b" "sandstone" "Fynbos pioneer" "Fynbos" "Number of individuals in 1994" 17
"436" "Hermannia salvifolia" "5b" "sandstone" "Fynbos pioneer" "Fynbos" "Area cover in 2008 (cm^2)" NA
"437" "Hermannia salvifolia" "5b" "sandstone" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"438" "Hermannia salvifolia" "5b" "sandstone" "Fynbos pioneer" "Fynbos" "Number of individuals in 2008" NA
"439" "Hermannia salvifolia" "5b" "sandstone" "Fynbos pioneer" "Fynbos" "Area cover in 2012 (cm^2)" 0
"440" "Hermannia salvifolia" "5b" "sandstone" "Fynbos pioneer" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"441" "Hermannia salvifolia" "5b" "sandstone" "Fynbos pioneer" "Fynbos" "Number of individuals in 2012" 0
"442" "Pentameris eriostoma" "2a" "shale" "C3 grass" "Fynbos" "Area cover in 1994 (cm^2)" 418
"443" "Pentameris eriostoma" "2a" "shale" "C3 grass" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 137
"444" "Pentameris eriostoma" "2a" "shale" "C3 grass" "Fynbos" "Number of individuals in 1994" 4
"445" "Pentameris eriostoma" "2a" "shale" "C3 grass" "Fynbos" "Area cover in 2008 (cm^2)" NA
"446" "Pentameris eriostoma" "2a" "shale" "C3 grass" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"447" "Pentameris eriostoma" "2a" "shale" "C3 grass" "Fynbos" "Number of individuals in 2008" NA
"448" "Pentameris eriostoma" "2a" "shale" "C3 grass" "Fynbos" "Area cover in 2012 (cm^2)" 0
"449" "Pentameris eriostoma" "2a" "shale" "C3 grass" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"450" "Pentameris eriostoma" "2a" "shale" "C3 grass" "Fynbos" "Number of individuals in 2012" 0
"451" "Pentameris eriostoma" "2b" "sandstone" "C3 grass" "Fynbos" "Area cover in 1994 (cm^2)" 999
"452" "Pentameris eriostoma" "2b" "sandstone" "C3 grass" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 250
"453" "Pentameris eriostoma" "2b" "sandstone" "C3 grass" "Fynbos" "Number of individuals in 1994" 7
"454" "Pentameris eriostoma" "2b" "sandstone" "C3 grass" "Fynbos" "Area cover in 2008 (cm^2)" NA
"455" "Pentameris eriostoma" "2b" "sandstone" "C3 grass" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"456" "Pentameris eriostoma" "2b" "sandstone" "C3 grass" "Fynbos" "Number of individuals in 2008" NA
"457" "Pentameris eriostoma" "2b" "sandstone" "C3 grass" "Fynbos" "Area cover in 2012 (cm^2)" 3425
"458" "Pentameris eriostoma" "2b" "sandstone" "C3 grass" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 884
"459" "Pentameris eriostoma" "2b" "sandstone" "C3 grass" "Fynbos" "Number of individuals in 2012" 2
"460" "Pentameris eriostoma" "3" "africa" "C3 grass" "Fynbos" "Area cover in 1994 (cm^2)" 578
"461" "Pentameris eriostoma" "3" "africa" "C3 grass" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" NA
"462" "Pentameris eriostoma" "3" "africa" "C3 grass" "Fynbos" "Number of individuals in 1994" 6
"463" "Pentameris eriostoma" "3" "africa" "C3 grass" "Fynbos" "Area cover in 2008 (cm^2)" NA
"464" "Pentameris eriostoma" "3" "africa" "C3 grass" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"465" "Pentameris eriostoma" "3" "africa" "C3 grass" "Fynbos" "Number of individuals in 2008" NA
"466" "Pentameris eriostoma" "3" "africa" "C3 grass" "Fynbos" "Area cover in 2012 (cm^2)" 6320
"467" "Pentameris eriostoma" "3" "africa" "C3 grass" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 5931
"468" "Pentameris eriostoma" "3" "africa" "C3 grass" "Fynbos" "Number of individuals in 2012" 5
"469" "Pentameris eriostoma" "4a" "shale" "C3 grass" "Fynbos" "Area cover in 1994 (cm^2)" 571
"470" "Pentameris eriostoma" "4a" "shale" "C3 grass" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 284
"471" "Pentameris eriostoma" "4a" "shale" "C3 grass" "Fynbos" "Number of individuals in 1994" 10
"472" "Pentameris eriostoma" "4a" "shale" "C3 grass" "Fynbos" "Area cover in 2008 (cm^2)" NA
"473" "Pentameris eriostoma" "4a" "shale" "C3 grass" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"474" "Pentameris eriostoma" "4a" "shale" "C3 grass" "Fynbos" "Number of individuals in 2008" NA
"475" "Pentameris eriostoma" "4a" "shale" "C3 grass" "Fynbos" "Area cover in 2012 (cm^2)" 2914
"476" "Pentameris eriostoma" "4a" "shale" "C3 grass" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 1045
"477" "Pentameris eriostoma" "4a" "shale" "C3 grass" "Fynbos" "Number of individuals in 2012" 7
"478" "Pentameris eriostoma" "4b" "sandstone" "C3 grass" "Fynbos" "Area cover in 1994 (cm^2)" 437
"479" "Pentameris eriostoma" "4b" "sandstone" "C3 grass" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 314
"480" "Pentameris eriostoma" "4b" "sandstone" "C3 grass" "Fynbos" "Number of individuals in 1994" 10
"481" "Pentameris eriostoma" "4b" "sandstone" "C3 grass" "Fynbos" "Area cover in 2008 (cm^2)" NA
"482" "Pentameris eriostoma" "4b" "sandstone" "C3 grass" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"483" "Pentameris eriostoma" "4b" "sandstone" "C3 grass" "Fynbos" "Number of individuals in 2008" NA
"484" "Pentameris eriostoma" "4b" "sandstone" "C3 grass" "Fynbos" "Area cover in 2012 (cm^2)" 1853
